,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,gridId
294673,I162033896,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,450,,2016-05-01 19:05:00,2016,5,Sunday,19,Part One,DUNLAP ST,42.29281079,-71.07327594,"(42.29281079, -71.07327594)",3244.0
294737,I162033826,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,506,,2016-05-01 15:40:00,2016,5,Sunday,15,Part One,WALK HILL ST,42.29392745,-71.1142931,"(42.29392745, -71.11429310)",3329.0
294764,I162033795,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,448,,2016-05-01 14:56:00,2016,5,Sunday,14,Part One,SPENCER ST,42.29384269,-71.07609427,"(42.29384269, -71.07609427)",3343.0
295042,I162033500,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,750,,2016-04-29 21:30:00,2016,4,Friday,21,Part One,GERALD RD,42.34086177,-71.16020154,"(42.34086177, -71.16020154)",5612.0
295073,I162033473,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,750,,2016-04-30 01:00:00,2016,4,Saturday,1,Part One,GERALD RD,42.34086177,-71.16020154,"(42.34086177, -71.16020154)",5612.0
295113,I162033422,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,750,,2016-04-29 16:00:00,2016,4,Friday,16,Part One,GERALD RD,42.34086177,-71.16020154,"(42.34086177, -71.16020154)",5612.0
295150,I162033380,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,337,,2016-04-29 18:37:00,2016,4,Friday,18,Part One,GENEVA AVE,42.30461251,-71.07296566,"(42.30461251, -71.07296566)",3844.0
295159,I162033368,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,582,,2016-04-29 21:19:00,2016,4,Friday,21,Part One,DAY ST,42.32242182,-71.10988918,"(42.32242182, -71.10988918)",4731.0
295207,I162033315,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,436,,2016-04-29 17:01:00,2016,4,Friday,17,Part One,OAKWOOD ST,42.28816223,-71.07362757,"(42.28816223, -71.07362757)",3044.0
295212,I162033310,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A7,12,,2016-04-29 12:00:00,2016,4,Friday,12,Part One,SARATOGA ST,42.38685952,-71.00847459,"(42.38685952, -71.00847459)",7968.0
